,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
61,Carnarvon,0,AU,1600017136,93,-24.87,113.63,66.2,12.75
62,Xinmin,0,CN,1600017137,93,41.99,122.83,60.8,2.24
63,Vaini,75,TO,1600017137,72,-21.2,-175.2,68.0,11.41
64,East London,75,ZA,1600016709,72,-33.02,27.91,60.8,19.46
65,Faanui,40,PF,1600016632,78,-16.48,-151.75,77.86,11.18
66,Barrow,90,US,1600017137,93,71.29,-156.79,39.2,17.22
67,Turka,87,UA,1600017138,90,49.15,23.03,69.01,5.01
68,Ostrovnoy,98,RU,1600017093,93,68.05,39.51,47.01,6.24
69,Comodoro Rivadavia,20,AR,1600017138,33,-45.87,-67.5,57.2,11.41
70,Pochutla,90,MX,1600017138,70,15.74,-96.47,90.0,4.54
71,Plettenberg Bay,17,ZA,1600017138,65,-34.05,23.37,58.1,6.4
72,Marystown,100,CA,1600017139,100,47.17,-55.15,62.01,9.89
73,Ribeira Grande,75,PT,1600017139,78,38.52,-28.7,75.2,13.87
74,Gucheng,99,CN,1600017139,58,35.91,111.32,71.19,3.65
75,Meulaboh,95,ID,1600017139,85,4.14,96.13,78.12,2.73
76,Bredasdorp,24,ZA,1600017140,58,-34.53,20.04,57.2,18.34
77,Airai,72,TL,1600017140,77,-8.93,125.41,53.94,2.93
78,Clarksburg,90,US,1600017140,69,39.28,-80.34,77.0,8.05
79,Conde,75,BR,1600017140,58,-7.26,-34.91,84.2,16.11
80,Jalingo,73,NG,1600017140,87,8.88,11.37,78.42,3.42
81,Rikitea,22,PF,1600016978,81,-23.12,-134.97,72.64,11.79
82,Tazmalt,40,DZ,1600017141,74,36.39,4.4,78.8,4.7
83,Agadez,0,NE,1600016957,9,19.75,10.25,100.65,8.48
84,Atuona,37,PF,1600017141,77,-9.8,-139.03,78.1,15.5
85,Lebu,0,CL,1600017142,64,-37.62,-73.65,53.2,14.5
86,Mar del Plata,4,AR,1600017142,39,-38.0,-57.56,62.6,6.93
87,Tessalit,33,ML,1600017142,9,20.2,1.01,105.64,16.93
88,São João da Barra,0,BR,1600016561,54,-21.64,-41.05,82.4,20.8
89,Kailua,20,US,1600016681,69,21.4,-157.74,77.0,9.17
90,Susanville,1,US,1600017143,25,40.42,-120.65,66.99,2.46
91,Teguise,20,ES,1600017143,83,29.06,-13.56,75.2,5.82
92,Khiri Mat,100,TH,1600017143,79,16.83,99.8,80.28,2.06
93,Port Lincoln,1,AU,1600017049,90,-34.73,135.87,53.08,7.23
94,Prince Rupert,75,CA,1600017144,93,54.32,-130.32,53.6,2.35
95,New Norfolk,39,AU,1600017144,77,-42.78,147.06,46.0,3.0
96,Tasiilaq,79,GL,1600017144,60,65.61,-37.64,39.2,3.36
97,Butaritari,57,KI,1600017144,71,3.07,172.79,82.67,14.32
98,Sibolga,100,ID,1600017144,75,1.74,98.78,77.99,1.74
99,San Donà di Piave,0,IT,1600017145,54,45.63,12.57,84.0,3.36
100,Kloulklubed,75,PW,1600017145,94,7.04,134.26,77.0,11.63
101,Ukiah,75,US,1600017145,62,39.15,-123.21,75.0,2.59
102,Taoudenni,52,ML,1600017145,8,22.68,-3.98,112.71,9.98
103,Tiksi,28,RU,1600017146,85,71.69,128.87,40.51,1.25
104,Vila Franca do Campo,20,PT,1600016651,73,37.72,-25.43,73.4,14.99
105,Rocha,97,UY,1600017146,83,-34.48,-54.33,60.62,6.8
106,Rørvik,75,NO,1600017146,71,64.86,11.24,51.8,20.8
107,Mizdah,85,LY,1600017146,43,31.45,12.98,80.82,16.04
108,Galveston,20,US,1600017046,70,29.37,-94.97,87.8,13.87
109,Fort Nelson,75,CA,1600016684,86,58.81,-122.7,39.2,8.05
110,George Town,20,MY,1600016979,83,5.41,100.34,80.6,2.98
111,Saint Paul Harbor,1,US,1600016737,80,57.79,-152.41,39.2,6.93
112,Kavieng,16,PG,1600017147,77,-2.57,150.8,82.74,12.59
113,Tena,40,EC,1600017147,61,-0.98,-77.82,78.8,4.7
114,Gachsaran,34,IR,1600017148,26,30.36,50.8,91.4,1.19
115,Soverato Marina,97,IT,1600017148,74,38.69,16.55,82.4,5.82
116,Port-Gentil,40,GA,1600016948,74,-0.72,8.78,80.6,16.15
117,Yellowknife,75,CA,1600016932,69,62.46,-114.35,35.6,12.75
118,Los Llanos de Aridane,20,ES,1600017148,69,28.66,-17.92,78.8,4.7
119,Bethel,90,US,1600017149,68,41.37,-73.41,73.0,9.17
120,Havøysund,75,NO,1600016909,81,71.0,24.66,50.0,8.05
121,Katsuura,75,JP,1600017149,94,35.13,140.3,71.6,9.17
122,Hilo,71,US,1600016986,84,19.73,-155.09,71.01,3.0
123,Muisne,75,EC,1600017149,78,0.6,-80.03,82.4,4.7
124,Hoquiam,90,US,1600017149,100,46.98,-123.89,57.0,6.93
125,Yulara,0,AU,1600017150,46,-25.24,130.99,69.8,14.99
126,Berdigestyakh,100,RU,1600017150,90,62.1,126.7,49.28,9.01
127,Saint George,1,US,1600016973,15,37.1,-113.58,82.99,3.36
128,Parvatsar,0,IN,1600016687,37,26.88,74.77,86.81,6.04
129,Torbay,90,CA,1600017150,51,47.67,-52.73,62.01,11.41
130,Talnakh,40,RU,1600017000,82,69.49,88.4,55.4,15.66
131,Petropavlovsk-Kamchatskiy,1,RU,1600016635,86,53.05,158.65,39.2,13.42
132,Kaitangata,83,NZ,1600016860,93,-46.28,169.85,48.99,1.01
133,Shingū,50,JP,1600016758,83,33.73,135.98,70.52,5.86
134,Avarua,94,CK,1600017105,78,-21.21,-159.78,73.4,9.17
135,Tuktoyaktuk,90,CA,1600017151,84,69.45,-133.04,35.6,14.99
136,Moshi,20,TZ,1600016951,42,-3.35,37.33,80.6,5.82
137,Den Helder,19,NL,1600016963,77,52.96,4.76,66.2,13.87
138,Karwar,100,IN,1600017152,85,14.8,74.13,78.35,6.46
139,Geraldton,0,AU,1600017152,87,-28.77,114.6,53.6,9.17
140,Atherton,0,GB,1600017152,51,53.52,-2.49,75.99,3.0
141,Katherine,75,AU,1600017153,38,-14.47,132.27,75.2,2.24
142,Amahai,100,ID,1600017153,85,-3.33,128.92,77.11,7.11
143,Mehamn,90,NO,1600017119,93,71.04,27.85,48.2,3.36
144,Hobart,40,AU,1600017022,61,-42.88,147.33,46.4,13.87
145,Qaanaaq,54,GL,1600017153,81,77.48,-69.36,24.24,8.59
146,Constitución,0,CL,1600017154,47,-35.33,-72.42,60.4,14.54
147,Rome,90,US,1600016884,72,43.21,-75.46,66.2,4.7
148,Kumul,100,CN,1600017154,20,42.8,93.45,68.09,4.07
149,Salinópolis,91,BR,1600017154,75,-0.61,-47.36,83.1,12.93
150,Lompoc,90,US,1600016854,100,34.64,-120.46,53.6,8.72
151,Tual,57,ID,1600016916,80,-5.67,132.75,78.6,20.04
152,Thompson,75,CA,1600017155,75,55.74,-97.86,42.8,8.05
153,Camacha,40,PT,1600017155,73,33.08,-16.33,77.0,14.99
154,Elko,1,US,1600017155,27,41.0,-115.5,70.0,3.36
155,Gigmoto,61,PH,1600017156,78,13.78,124.39,81.05,4.34
156,Rudnogorsk,100,RU,1600017156,86,57.26,103.75,46.36,8.32
157,Kalawit,99,PH,1600017156,83,8.07,122.52,78.93,1.54
158,Mount Gambier,90,AU,1600016699,93,-37.83,140.77,51.8,5.82
159,Riviere-au-Renard,75,CA,1600017156,59,49.0,-64.4,62.6,9.17
160,Amapá,6,BR,1600016665,34,1.0,-52.0,97.45,4.5
161,Jamestown,90,US,1600017157,93,42.1,-79.24,66.0,6.93
162,Chicama,13,PE,1600017157,53,-7.84,-79.15,73.71,11.32
163,Ust'-Koksa,9,RU,1600017157,70,50.27,85.61,39.63,0.67
164,Leningradskiy,67,RU,1600017157,85,69.38,178.42,38.07,2.59
165,Zhigansk,77,RU,1600017158,91,66.77,123.37,45.03,14.92
166,Longyearbyen,75,SJ,1600017158,90,78.22,15.64,39.2,18.34
167,Tshikapa,5,CD,1600017158,29,-6.42,20.8,86.95,1.99
168,Victor Harbor,1,AU,1600017158,90,-35.57,138.62,52.0,8.68
169,Saint-Philippe,43,RE,1600017159,73,-21.36,55.77,69.8,10.29
170,Lagoa,4,PT,1600017063,80,39.05,-27.98,72.21,18.25
171,Richards Bay,0,ZA,1600017023,69,-28.78,32.04,73.15,17.52
172,Taltal,23,CL,1600017159,60,-25.4,-70.48,62.96,6.53
173,Vieques,40,PR,1600017159,83,18.43,-65.83,88.0,10.29
174,Dhule,99,IN,1600017160,83,20.9,74.78,79.02,8.68
175,El Alto,3,PE,1600017160,66,-4.27,-81.21,70.63,15.39
176,Flin Flon,75,CA,1600017160,61,54.77,-101.86,46.4,5.82
177,Hithadhoo,100,MV,1600016367,69,-0.6,73.08,82.33,5.66
178,Marzuq,67,YE,1600017161,44,14.4,46.47,84.9,5.55
179,Te Anau,100,NZ,1600016995,91,-45.42,167.72,49.73,7.45
180,Kaeo,5,NZ,1600017161,3,-35.1,173.78,45.0,1.99
181,Lobito,60,AO,1600017161,77,-12.35,13.55,71.38,5.61
182,Taksimo,98,RU,1600017161,82,56.34,114.88,54.73,3.27
183,Parabel',100,RU,1600017162,93,58.7,81.48,53.2,7.29
184,Najrān,28,SA,1600016902,15,17.49,44.13,91.4,5.82
185,Rawson,0,AR,1600016670,38,-43.3,-65.1,55.56,15.79
186,Mayo,40,US,1600016755,83,38.89,-76.51,79.0,8.05
187,Chui,95,UY,1600016744,92,-33.7,-53.46,60.35,4.79
188,Shimoda,11,JP,1600017162,96,34.67,138.95,70.0,8.1
189,Bilāspur,97,IN,1600017163,77,22.08,82.15,79.83,4.68
190,Tateyama,75,JP,1600017163,94,34.98,139.87,73.0,9.17
191,Pechenga,40,RU,1600017163,93,69.53,31.17,46.4,5.82
192,Millerovo,0,RU,1600017163,30,48.92,40.4,62.92,5.1
193,Klaksvík,98,FO,1600017163,76,62.23,-6.59,50.0,1.12
194,Kruisfontein,0,ZA,1600016980,66,-34.0,24.73,57.99,3.0
195,Hengshui,96,CN,1600017164,77,37.73,115.7,67.98,6.67
196,Sechura,21,PE,1600017164,56,-5.56,-80.82,74.16,10.02
197,Requena,84,ES,1600017165,38,39.49,-1.1,80.01,7.0
198,Antalaha,31,MG,1600016773,78,-14.9,50.28,70.61,10.71
199,Waingapu,100,ID,1600017165,83,-9.66,120.26,73.4,7.02
200,Cockburn Town,40,TC,1600016762,70,21.46,-71.14,84.2,5.82
201,Marsabit,71,KE,1600017165,43,2.33,37.99,74.48,20.76
202,São Filipe,77,CV,1600016487,78,14.9,-24.5,80.22,14.36
203,Riyadh,11,SA,1600016648,20,24.69,46.72,95.0,2.24
204,Halkirk,100,CA,1600017166,75,52.28,-112.15,48.0,7.0
205,Severo-Kuril'sk,18,RU,1600017166,82,50.68,156.12,48.81,22.1
206,Narsaq,0,GL,1600016586,31,60.92,-46.05,46.4,3.36
207,Port Elizabeth,20,ZA,1600017166,72,-33.92,25.57,59.0,17.22
208,Palmer,75,US,1600017167,56,42.16,-72.33,73.4,6.93
209,Luan,20,CH,1600017167,57,46.36,6.98,78.8,9.17
210,Yuanping,100,CN,1600017167,90,38.72,112.76,61.74,1.86
211,Ust'-Kulom,100,RU,1600017167,94,61.69,53.69,49.86,10.54
212,Saint-Augustin,100,CA,1600017168,52,51.23,-58.65,59.5,19.82
213,Korla,55,CN,1600017168,74,41.76,86.15,69.01,5.99
214,Sokol,47,RU,1600017168,87,59.46,40.12,48.97,10.36
215,Águeda Municipality,77,PT,1600017168,68,40.58,-8.44,82.99,6.04
216,Fortuna,0,US,1600016378,98,40.6,-124.16,53.01,1.01
217,Lüderitz,0,NA,1600017169,66,-26.65,15.16,58.73,25.59
218,Portland,90,US,1600016477,93,45.52,-122.68,53.6,1.03
219,Baruun-Urt,0,MN,1600017169,58,46.68,113.28,44.98,8.46
220,Tautira,20,PF,1600016471,73,-17.73,-149.15,75.2,3.36
221,Mahébourg,75,MU,1600017170,83,-20.41,57.7,71.6,10.29
222,Ashtian,0,IR,1600017170,28,34.52,50.0,64.67,10.74
223,Berekum,82,GH,1600017171,95,7.45,-2.58,75.13,1.9
224,Deputatsky,97,RU,1600017112,85,69.3,139.9,36.41,2.46
225,Muroto-misakicho,4,JP,1600017171,78,33.28,134.15,77.2,2.48
226,Souillac,75,MU,1600017171,83,-20.52,57.52,71.6,10.29
227,Olafsvik,97,IS,1600016635,66,64.89,-23.71,47.32,10.98
228,Iqaluit,90,CA,1600017172,80,63.75,-68.51,39.2,3.36
229,Piranhas,0,BR,1600017172,12,-16.43,-51.82,99.95,7.4
230,Adoni,100,IN,1600017172,90,15.63,77.28,72.95,15.97
231,Volot,16,RU,1600017172,73,57.93,30.7,52.43,9.44
232,Haines Junction,25,CA,1600016748,68,60.75,-137.51,40.62,2.64
233,Lagdo,20,CM,1600017173,58,9.05,13.73,87.8,9.17
234,Udachny,18,RU,1600017173,75,66.42,112.4,42.8,4.47
235,Vardø,75,NO,1600016785,93,70.37,31.11,48.2,9.17
236,Bubaque,0,GW,1600017173,81,11.28,-15.83,81.64,14.5
237,San Quintín,0,MX,1600016770,52,30.48,-115.95,78.06,7.78
238,Jalu,0,LY,1600017174,21,29.03,21.55,93.4,11.07
239,Qeshm,0,IR,1600017175,46,26.96,56.27,91.4,4.7
240,Yangi Marg`ilon,0,UZ,1600016799,48,40.43,71.72,66.2,4.7
241,Severodvinsk,75,RU,1600017175,93,64.56,39.83,51.8,6.71
242,Gao,42,ML,1600017175,13,16.64,1.64,103.82,10.54
243,Fairbanks,1,US,1600017122,75,64.84,-147.72,37.0,2.04
244,Sistranda,75,NO,1600017175,87,63.73,8.83,51.8,19.46
245,Khuzhir,100,RU,1600017176,82,53.19,107.34,48.09,8.5
246,Rundu,0,NA,1600017176,18,-17.93,19.77,73.92,2.3
247,Grindavik,90,IS,1600016790,87,63.84,-22.43,46.4,16.11
248,Turtas,62,RU,1600017176,94,58.94,69.13,47.32,2.44
249,Lockport,1,US,1600017169,64,41.59,-88.06,73.0,5.82
250,Vao,95,NC,1600017177,78,-22.67,167.48,69.3,21.3
251,Nanortalik,0,GL,1600017177,67,60.14,-45.24,40.01,8.21
252,Padang,92,ID,1600017035,72,-0.95,100.35,77.9,3.44
253,Saint-Joseph,22,RE,1600017177,73,-21.37,55.62,69.8,10.29
254,College,20,US,1600016902,86,64.86,-147.8,37.0,3.36
255,Muros,92,ES,1600016730,44,42.78,-9.06,82.99,5.99
256,St. George's,20,GD,1600017138,75,12.06,-61.75,89.6,16.11
257,Soyo,15,AO,1600017178,77,-6.13,12.37,75.36,10.11
258,Arraial do Cabo,10,BR,1600017127,61,-22.97,-42.03,86.0,23.04
259,Miguel Hidalgo,40,MX,1600017179,56,19.42,-99.2,68.0,9.17
260,Malakal,100,SS,1600017179,96,9.53,31.66,72.45,5.37
261,Srednekolymsk,0,RU,1600017179,74,67.45,153.68,40.48,2.59
262,Atasū,98,KZ,1600016981,28,48.68,71.64,65.62,7.09
263,Daşoguz,0,TM,1600017179,40,41.84,59.97,68.0,6.93
264,Ponta Delgada,20,PT,1600016848,73,37.73,-25.67,73.4,14.99
265,Nuuk,0,GL,1600017097,44,64.18,-51.72,39.2,8.05
266,Waitati,100,NZ,1600017180,75,-45.75,170.57,48.99,15.99
267,Bandar-e Lengeh,0,IR,1600017180,55,26.56,54.88,91.4,7.07
268,Kunshan,78,CN,1600017180,88,31.38,120.95,75.99,4.47
269,Nikolskoye,40,RU,1600017181,66,59.7,30.79,55.99,20.13
270,Kununurra,40,AU,1600017181,83,-15.77,128.73,73.4,2.24
271,Vicuña,20,CL,1600017181,76,-30.03,-70.71,57.2,12.75
272,Priverno,75,IT,1600017181,50,41.47,13.19,84.99,4.0
273,Kaoma,16,ZM,1600017182,23,-14.78,24.8,72.79,2.86
274,Otane,90,NZ,1600016955,84,-39.88,176.63,50.0,5.01
275,Kokoda,84,PG,1600017182,73,-8.88,147.74,71.96,0.72
276,Ocean City,90,US,1600017182,64,39.28,-74.57,82.0,6.93
277,Pilar,75,BR,1600017182,58,-9.6,-35.96,82.4,19.46
278,Fuyu,4,CN,1600017183,92,45.18,124.82,53.55,3.33
279,Mount Isa,0,AU,1600016789,32,-20.73,139.5,69.8,6.93
280,Naze,75,JP,1600017183,100,28.37,129.48,77.0,8.05
281,Antofagasta,20,CL,1600017129,63,-23.65,-70.4,60.8,13.87
282,Dunedin,100,NZ,1600016779,81,-45.87,170.5,50.0,4.0
283,Peniche,92,PT,1600016802,85,39.36,-9.38,75.0,11.99
284,Westport,20,US,1600017184,69,41.14,-73.36,75.99,9.17
285,Mionica,11,BA,1600017184,50,44.87,18.46,82.99,1.12
286,Shelburne,1,CA,1600017075,60,44.08,-80.2,73.4,19.46
287,Kanhangad,75,IN,1600017185,100,12.31,75.11,75.2,2.24
288,Stonewall,20,CA,1600017185,62,50.13,-97.33,55.4,16.11
289,Billings Metropolitan Area,20,US,1600016916,58,45.78,-108.5,63.0,8.05
290,Almuñécar,100,ES,1600017185,63,36.73,-3.69,82.99,5.35
291,Aban,53,RU,1600017186,92,56.67,96.06,45.25,4.9
292,Yelan’-Kolenovskiy,0,RU,1600017186,37,51.16,41.15,61.48,6.38
293,Englehart,90,CA,1600017186,82,47.82,-79.87,68.0,21.92
294,Lufilufi,75,WS,1600017186,100,-13.87,-171.6,75.2,21.21
295,Moerai,9,PF,1600017187,87,-22.43,-151.33,75.25,17.52
296,Imeni Babushkina,93,RU,1600017187,92,59.76,43.13,49.73,9.42
297,Saint-François,0,FR,1600016796,27,46.42,3.91,87.8,6.93
298,Bilibino,88,RU,1600016883,83,68.05,166.44,36.46,6.33
299,Kabanjahe,100,ID,1600017187,96,3.1,98.49,64.76,1.97
300,Amnat Charoen,40,TH,1600017188,76,15.86,104.63,79.57,1.48
301,Kumano,75,JP,1600017188,73,34.34,132.59,69.8,6.93
302,Otjiwarongo,0,NA,1600017188,20,-20.46,16.65,70.2,5.61
303,Tura,100,IN,1600017188,97,25.52,90.22,74.8,5.84
304,Asău,36,RO,1600016826,79,46.43,26.4,66.0,4.12
305,Vila Velha,20,BR,1600016372,58,-20.33,-40.29,82.4,17.22
306,Palana,100,RU,1600017189,89,59.12,159.97,42.76,16.93
307,Brookhaven,27,US,1600017189,76,31.58,-90.44,88.0,6.87
308,Itarema,16,BR,1600016822,52,-2.92,-39.92,85.48,22.44
309,Grand-Santi,1,GF,1600016765,30,4.25,-54.38,98.44,4.52
310,Norman Wells,75,CA,1600017190,77,65.28,-126.83,32.0,2.24
311,Provideniya,100,RU,1600017190,92,64.38,-173.3,43.47,16.91
312,Hofn,90,IS,1600016585,66,64.25,-15.21,48.2,12.75
313,Aksarka,54,RU,1600017190,80,66.56,67.8,45.07,6.73
314,Codrington,14,AU,1600016363,92,-38.27,141.97,47.89,8.57
315,Chipinge,47,ZW,1600017191,63,-20.19,32.62,62.6,5.46
316,Camaná,56,PE,1600017191,63,-16.62,-72.71,65.25,8.9
317,Hambantota,100,LK,1600016845,77,6.12,81.12,80.46,15.88
318,Villa Bruzual,50,VE,1600017191,66,9.33,-69.12,87.67,5.79
319,Afuá,13,BR,1600017192,55,-0.16,-50.39,91.49,6.02
320,Houffalize,47,BE,1600017192,52,50.13,5.79,78.01,1.01
321,São José do Belmonte,54,BR,1600017192,17,-7.86,-38.76,92.89,12.68
322,Siddipet,100,IN,1600017193,89,18.1,78.85,75.76,8.37
323,Buraidah,0,SA,1600017193,16,26.33,43.98,98.6,6.93
324,Puri,20,IN,1600017193,89,19.8,85.85,84.2,4.7
325,Jumla,98,NP,1600016886,68,29.27,82.18,61.72,1.21
326,Tambun,20,ID,1600017193,78,-6.26,107.07,82.99,3.36
327,Goderich,49,CA,1600017087,82,43.75,-81.72,71.01,21.27
328,Mbandaka,100,CD,1600017194,91,0.05,18.26,74.32,1.7
329,Xam Nua,100,LA,1600017194,93,20.42,104.04,68.14,1.63
330,Molina,20,CL,1600017194,71,-35.12,-71.28,62.01,10.29
331,Astoria,90,US,1600016931,93,46.19,-123.83,55.4,3.2
332,Rodrigues Alves,20,BR,1600017195,56,-7.74,-72.65,93.2,4.7
333,Tegul'det,0,RU,1600017195,84,57.31,88.17,45.59,3.33
334,Harper,59,LR,1600016769,86,4.38,-7.72,77.7,13.27
335,Manaus,40,BR,1600016971,62,-3.1,-60.02,93.2,4.7
336,Ishigaki,76,JP,1600017195,73,24.34,124.16,83.12,7.56
337,Takhtamygda,92,RU,1600017196,93,54.1,123.57,52.39,2.8
338,Gravdal,75,NO,1600017196,87,68.12,13.5,50.0,5.82
339,Kautokeino,90,NO,1600017081,77,69.01,23.04,43.68,5.06
340,Shīeli,73,KZ,1600017196,25,44.17,66.75,70.16,6.91
341,Stykkisholmur,97,IS,1600017196,65,65.08,-22.73,47.34,11.23
342,Nyrob,100,RU,1600017197,93,60.73,56.72,49.55,8.63
343,Kholodnyy,1,RU,1600017197,89,62.72,147.95,33.06,1.86
344,Pevek,27,RU,1600017197,83,69.7,170.31,41.85,9.89
345,Ixtapa,5,MX,1600017197,74,20.7,-105.2,87.01,6.93
346,Moree,0,AU,1600017198,66,-29.47,149.85,53.6,9.17
347,Ugoofaaru,100,MV,1600016839,78,5.67,73.0,82.69,10.83
348,Ves'yegonsk,12,RU,1600017198,74,58.66,37.26,51.55,9.93
349,Blackwater,0,AU,1600017198,88,-23.58,148.88,60.12,8.19
350,Teahupoo,20,PF,1600017198,73,-17.83,-149.27,75.2,3.36
351,Hamilton,40,US,1600016731,74,39.18,-84.53,81.0,5.82
352,La Ferté-Bernard,0,FR,1600017199,26,48.19,0.65,84.2,5.82
353,Simao,100,CN,1600017199,94,22.79,100.97,65.62,1.97
354,Praia,20,CV,1600016576,75,14.92,-23.51,81.86,12.33
355,Mossamedes,45,AO,1600017199,83,-15.2,12.15,64.38,10.87
356,Gemeente Wageningen,34,NL,1600017200,64,51.97,5.67,75.0,8.05
357,Lorengau,66,PG,1600017200,82,-2.02,147.27,81.88,12.75
358,Storforshei,75,NO,1600017200,87,66.4,14.52,48.2,13.87
359,Inhambane,0,MZ,1600017200,76,-23.86,35.38,70.7,9.13
360,Lata,66,PT,1600016644,50,40.16,-8.33,82.0,8.01
361,Iquique,20,CL,1600017055,59,-20.22,-70.14,64.4,12.75
362,Ongandjera,2,NA,1600017201,17,-17.88,15.07,75.92,5.64
363,Manggar,100,ID,1600017201,81,-2.88,108.27,79.97,6.82
364,Swan Hill,0,AU,1600016749,94,-35.34,143.55,43.47,5.75
365,Guerrero Negro,0,MX,1600017201,45,27.98,-114.06,81.25,7.2
366,Kasongo-Lunda,59,CD,1600017202,31,-6.47,16.82,88.18,0.78
367,Port Hedland,68,AU,1600017069,69,-20.32,118.57,75.2,8.05
368,Cayenne,40,GF,1600016714,52,4.93,-52.33,91.4,13.87
369,Nishihara,75,JP,1600017073,88,26.18,127.76,80.6,5.82
370,Montepuez,79,MZ,1600017202,49,-13.13,39.0,79.52,11.54
371,Acará,21,BR,1600017203,34,-1.96,-48.2,98.08,5.28
372,Louiseville,90,CA,1600016998,77,46.26,-72.94,62.01,5.82
373,Prokop'yevsk,0,RU,1600017203,72,53.91,86.72,44.8,2.35
